tunnel,category,ring,n,density,k_gt,k_off,k_off_sectors,acc
4-8,complex,330,20308,453.79695841802516,10.405998740450114,1.1160779297995944,0.33173649315728015,0.1470845383011635
4-8,complex,331,36935,822.291552088613,20.332165076411584,0.8816495494548136,0.2620563689332639,0.5336372734348938
4-8,complex,332,66568,1479.9105554665439,3.075601678749325,0.8689899302359958,0.25829349756718356,0.2322182851880768
4-8,complex,333,139769,3144.31683144546,0.9890848047695762,5.126445535000435,1.5237547654474364,0.12379331592382853
4-8,complex,334,365463,8153.938612989649,17.911682898923637,7.816473599538089,2.323323014937528,0.0
4-8,complex,335,642983,14918.307607869898,20.52300492122628,9.753132394224524,2.8989641774743093,0.0
4-8,complex,336,412530,9197.662833126606,10.529496424998406,5.3155465976408705,1.579962062176185,0.03044252584304464
4-8,complex,337,157262,3495.0324040962664,13.18379675335274,1.0498871143253066,0.31206232129313116,0.3941227240286146
4-8,complex,338,72214,1562.4931560217574,19.141285825372723,0.3723150673162756,0.11066475869054754,0.3330605564648118
4-8,complex,339,38425,797.0973789540194,5.989091248118838,10.343618339789497,3.074476775304784,0.0
4-9,complex,360,21212,457.6020866110914,16.36823498491612,0.0701175177825526,0.021112976042971406,0.03635227982510931
4-9,complex,361,35133,706.6584523037689,6.745153520130307,6.439098308182775,1.9388668141476741,0.043171871522884056
4-9,complex,362,66135,1310.9980797567275,9.273190372911287,0.08977707060899576,0.02703263322660759,0.0949398747473939
4-9,complex,363,142468,2842.100474943792,20.054470793644043,7.384705932506444,2.22359724599654,0.011963662908589504
4-9,complex,364,371429,7621.141686110974,6.763113523168324,7.644055526726866,2.301689596420454,0.0
4-9,complex,365,642391,14643.618407840699,20.53760509854925,0.22290545480213098,0.06711871264011122,0.05372794038177486
4-9,complex,366,396950,8609.05996486837,3.200120435391496,7.4492356326461575,2.2430276830142195,0.0
4-9,complex,367,154165,2880.9671905828773,16.431062212577174,0.570345472428265,0.17173583259091801,0.0619160398719517
4-9,complex,368,70531,1118.151201057896,3.165854855675618,11.361820995397306,3.4211401382500575,0.0
4-9,complex,369,37038,510.61704675478734,5.833777272811153,7.850253987212653,2.363777692149041,0.00010518565267697486
4-10,complex,390,19042,422.3230921088576,4.804418563914713,,,0.22671979865771813
4-10,complex,391,33003,731.6699092852762,16.769127450833743,,,0.11294833826916749
4-10,complex,392,61496,1352.8011954136737,3.201197377402202,,,0.6648330313228061
4-10,complex,393,127538,2805.7693943693575,16.774408292313566,,,0.24804326613656652
4-10,complex,394,329659,7398.300161040124,,,,0.002429863246388133
4-10,complex,395,643601,14626.147088765747,9.316811106061838,,,0.2067767873198551
4-10,complex,396,440114,9971.92231580791,3.1391254678073333,,,0.4750754197271773
4-10,complex,397,173791,3758.5771244316948,16.73977513830247,,,0.2489258202129945
4-10,complex,398,78164,1589.439640989257,6.944604894448058,,,0.0
4-10,complex,399,40724,767.8872323192694,16.75691393526127,,,0.0
5-1,complex,110,17010,396.52621709500363,19.02898493645288,1.6537668930161686,0.4979794701681454,0.09312320916905444
5-1,complex,111,27165,640.2430736738245,12.67219655386197,0.7822271952792192,0.23554292077151384,0.17945925469955964
5-1,complex,112,50023,1196.8946230080699,6.578097318875639,3.2319683745132206,0.9732048123208863,0.07798818440763794
5-1,complex,113,97333,2288.3252632929,9.028340855954127,0.472254961354146,0.1422046096294155,0.09330018679266015
5-1,complex,114,228332,5385.803712627416,19.073500623197795,9.220888862459073,2.7765783494625977,0.2893947263894406
5-1,complex,115,544152,12831.784405540766,5.257156061986712,4.922788878409493,1.4823418026884099,0.1934009647970504
5-1,complex,116,591746,13828.828243895798,5.1559033807873735,5.333437707395907,1.60599567866537,0.1668034557787647
5-1,complex,117,245357,5803.155450323434,21.39206462878808,10.763166752348617,3.2409864408947024,0.0003687453572821864
5-1,complex,118,105279,2479.9395373247535,8.130352091684571,2.4332271303308257,0.732689209269988,0.5589275191514437
5-1,complex,119,51030,1202.231445220887,5.853132229652208,4.704218246695008,1.4165261863309044,0.09171776057895266
5-2,complex,140,19803,456.04384402849695,16.87281878673849,0.9896750183212788,0.2940370548830521,0.3354498784112402
5-2,complex,141,32510,760.6260735019574,19.280053911317857,0.8562405221814622,0.2543930449419839,0.02363092230556959
5-2,complex,142,60380,1401.278641539987,5.929542810241626,8.371816113622156,2.4873055381830596,0.02243368928694454
5-2,complex,143,124231,2871.4259657405464,8.242706982885602,0.06494943381634322,0.01929677912661995,0.12397439932850697
5-2,complex,144,317141,7421.680263936422,14.363323684466105,0.12060869651663175,0.0358334051688892,0.08697181264002501
5-2,complex,145,643058,14992.628646152969,19.209584010305115,8.663871562360754,2.574076571522175,0.08645809398864981
5-2,complex,146,455568,10542.948635482886,5.560679749351136,0.23305496438225148,0.069241714789436,0.05338092457937477
